date,pm25
2019-12-09,0.37
2019-12-10,0.42
2019-12-11,0.45
2019-12-12,1.2
2019-12-13,0.63
2019-12-14,1.05
2019-12-15,0.79
2019-12-16,0.63
2019-12-17,0.67
2019-12-18,0.43
2019-12-19,0.5
2019-12-20,3.94
2019-12-21,2.31
2019-12-22,0.78
2019-12-23,0.41
2019-12-24,1.18
2019-12-25,0.35
2019-12-26,0.26
2019-12-27,0.64
2019-12-28,0.69
2019-12-29,0.45
2019-12-30,0.22
2019-12-31,0.22
2020-01-01,0.36
2020-01-02,0.94
2020-01-03,0.28
2020-01-04,0.51
2020-01-05,0.5
2020-01-06,0.78
2020-01-07,0.22
2020-01-08,0.28
2020-01-09,1.2
2020-01-10,1.66
2020-01-11,0.51
2020-01-12,0.3
2020-01-13,0.44
2020-01-14,0.69
2020-01-15,0.8
2020-01-16,1.15
2020-01-17,1.36
2020-01-18,2.46
2020-01-19,0.28
2020-01-20,0.34
2020-01-21,0.46
2020-01-22,0.63
2020-01-23,0.43
2020-01-24,0.35
2020-01-25,0.46
2020-01-26,0.32
2020-01-27,0.72
2020-01-28,0.89
2020-01-29,0.28
2020-01-30,0.83
2020-01-31,0.38
2020-02-01,0.32
2020-02-02,0.23
2020-02-03,0.37
2020-02-04,0.45
2020-02-05,0.31
2020-02-06,0.33
2020-02-07,0.55
2020-02-08,0.49
2020-02-09,0.8
2020-02-10,0.6
2020-02-11,0.25
2020-02-12,0.68
2020-02-13,0.48
2020-02-14,0.56
2020-02-15,0.63
2020-02-16,0.38
2020-02-17,0.76
2020-02-18,0.15
2020-02-19,0.45
2020-02-20,0.45
2020-02-21,0.19
2020-02-22,0.4
2020-02-23,0.42
2020-02-24,0.39
2020-02-25,0.49
2020-02-26,0.6
2020-02-27,0.75
2020-02-28,0.63
2020-02-29,0.65
2020-03-01,0.46
2020-03-02,0.47
2020-03-03,0.45
2020-03-04,0.41
2020-03-05,0.26
2020-03-06,0.68
2020-03-07,0.49
2020-03-08,2.33
2020-03-09,0.57
