date, pm25, pm10, no2
2025/11/1, 22, 8, 2
2025/11/2, 10, 7, 5
2025/11/3, 10, 7, 1
2025/11/4, 14, 6, 
2025/11/5, 18, , 
2025/11/7, 19, 3, 2
2025/11/8, 10, 3, 2
2025/11/9, 5, 8, 6
2025/11/10, 19, 10, 1
2025/11/11, 33, 3, 1
2025/11/12, 6, 22, 2
2025/11/13, 16, 11, 
2025/11/14, 9, , 
2025/10/1, 15, 9, 2
2025/10/2, 12, 9, 2
2025/10/3, 19, 10, 1
2025/10/4, 23, 5, 2
2025/10/5, 15, 15, 4
2025/10/6, 23, 14, 3
2025/10/7, 20, 9, 3
2025/10/8, 13, 14, 3
2025/10/9, 13, 8, 2
2025/10/10, 12, 6, 
2025/10/11, 12, 4, 
2025/10/12, 8, 8, 2
2025/10/13, 8, 14, 3
2025/10/14, 13, 4, 2
2025/10/15, 5, 9, 2
2025/10/16, 13, 10, 3
2025/10/17, 12, 9, 2
2025/10/18, 12, 9, 1
2025/10/19, 11, 28, 4
2025/10/20, 26, 34, 5
2025/10/21, 40, 12, 2
2025/10/22, 44, 16, 5
2025/10/23, 47, 7, 4
2025/10/24, 24, 2, 2
2025/10/25, 6, 5, 1
2025/10/26, 8, 18, 2
2025/10/27, 16, 40, 3
2025/10/28, 37, 31, 3
2025/10/29, 26, 6, 3
2025/10/30, 16, 14, 2
2025/10/31, 14, 28, 2
2025/7/1, 16, 8, 1
2025/7/2, 12, 5, 1
2025/7/3, 13, 6, 1
2025/7/4, 10, 10, 1
2025/7/5, 18, 5, 1
2025/7/6, 16, 6, 1
2025/7/7, 11, 8, 1
2025/7/8, 13, 8, 1
2025/7/9, 18, 12, 1
2025/7/10, 26, 13, 2
2025/7/11, 33, 11, 1
2025/7/12, 32, 12, 1
2025/7/13, 33, 15, 2
2025/7/14, 40, 15, 2
2025/7/15, 30, 15, 2
2025/7/16, 33, 12, 2
2025/7/17, 22, 12, 2
2025/7/18, 20, 16, 1
2025/7/19, 39, 16, 1
2025/7/20, 42, 18, 1
2025/7/21, 42, 23, 2
2025/7/22, 53, 23, 2
2025/7/23, 56, 24, 2
2025/7/24, 60, 20, 2
2025/7/25, 52, 18, 1
2025/7/26, 54, 13, 1
2025/7/27, 37, 13, 1
2025/7/28, 33, 11, 1
2025/7/29, 34, 10, 1
2025/7/30, 22, 18, 2
2025/7/31, 48, 20, 2
2025/8/1, 56, 14, 1
2025/8/2, 38, 9, 1
2025/8/3, 25, 9, 2
2025/8/4, 25, 7, 1
2025/8/5, 13, 6, 1
2025/8/6, 8, 8, 1
2025/8/7, 10, 10, 1
2025/8/8, 24, 8, 1
2025/8/9, 20, 5, 
2025/8/10, 12, 6, 1
2025/8/11, 9, 5, 1
2025/8/12, 8, 12, 2
2025/8/13, 18, 16, 1
2025/8/14, 30, 8, 1
2025/8/15, 21, 6, 
2025/8/16, 8, 4, 
2025/8/17, 6, 6, 
2025/8/18, 11, 4, 
2025/8/19, 5, 4, 
2025/8/20, 6, 3, 1
2025/8/21, 5, 4, 1
2025/8/22, 6, 2, 
2025/8/23, 5, 2, 
2025/8/24, 3, 3, 1
2025/8/25, 5, 6, 2
2025/8/26, 8, 9, 2
2025/8/27, 13, 13, 3
2025/8/28, 24, 12, 4
2025/8/29, 22, 9, 2
2025/8/30, 23, 10, 1
2025/8/31, 24, 14, 1
2025/9/1, 31, 11, 2
2025/9/2, 26, 8, 3
2025/9/3, 18, 16, 2
2025/9/4, 32, 11, 2
2025/9/5, 24, 11, 2
2025/9/6, 33, 13, 2
2025/9/7, 37, 14, 2
2025/9/8, 29, 17, 4
2025/9/9, 33, 24, 4
2025/9/10, 53, 19, 2
2025/9/11, 48, 12, 3
2025/9/12, 27, 8, 2
2025/9/13, 17, 11, 1
2025/9/14, 24, 5, 2
2025/9/15, 10, 13, 2
2025/9/16, 21, 14, 2
2025/9/17, 22, 12, 3
2025/9/18, 13, 9, 2
2025/9/19, 13, 9, 2
2025/9/20, 14, 10, 1
2025/9/21, 15, 35, 
2025/9/22, 18, 4, 1
2025/9/23, 8, 5, 1
2025/9/24, 7, 5, 2
2025/9/25, 7, 9, 2
2025/9/26, 16, 8, 1
2025/9/27, 17, 9, 2
2025/9/28, 21, 11, 3
2025/9/29, 15, 10, 2
2025/9/30, 16, 10, 1
2025/4/1, 24, 35, 2
2025/4/2, 24, 47, 1
2025/4/3, 34, 26, 
2025/4/4, 18, 18, 2
2025/4/5, 13, 5, 1
2025/4/6, 8, 18, 3
2025/4/7, 12, 18, 1
2025/4/8, 15, 22, 
2025/4/9, 18, 5, 2
2025/4/10, 7, 11, 2
2025/4/11, 8, 11, 2
2025/4/12, 17, 12, 1
2025/4/13, 21, 10, 3
2025/4/14, 23, 16, 2
2025/4/15, 16, 19, 4
2025/4/16, 26, 20, 3
2025/4/17, 43, 10, 2
2025/4/18, 28, 5, 
2025/4/19, 7, 8, 1
2025/4/20, 7, 10, 1
2025/4/21, 10, 10, 3
2025/4/22, 12, 9, 1
2025/4/23, 10, 11, 1
2025/4/24, 13, 11, 1
2025/4/25, 11, 6, 1
2025/4/26, 8, 9, 2
2025/4/27, 13, 13, 3
2025/4/28, 18, 7, 2
2025/4/29, 10, 6, 4
2025/4/30, 17, 11, 1
2025/5/1, 24, 8, 2
2025/5/2, 19, , 
2025/5/4, 6, 7, 1
2025/5/5, 7, 5, 2
2025/5/6, 9, 9, 1
2025/5/7, 12, 19, 3
2025/5/8, 18, 3, 4
2025/5/9, 10, 11, 3
2025/5/10, 15, 12, 1
2025/5/11, 18, 30, 3
2025/5/12, 33, 21, 2
2025/5/13, 26, 9, 1
2025/5/14, 11, 7, 
2025/5/15, 9, 8, 1
2025/5/16, 9, 9, 1
2025/5/17, 8, 9, 1
2025/5/18, 10, 15, 1
2025/5/19, 17, 9, 
2025/5/20, 10, 11, 1
2025/5/21, 11, 4, 1
2025/5/22, 9, 3, 3
2025/5/23, 8, 11, 1
2025/5/24, 15, 10, 1
2025/5/25, 19, 13, 3
2025/5/26, 25, 13, 1
2025/5/27, 17, 8, 1
2025/5/28, 13, 10, 1
2025/5/29, 16, 9, 3
2025/5/30, 16, 5, 
2025/5/31, 6, 8, 1
2025/6/1, 11, 9, 2
2025/6/2, 19, 13, 1
2025/6/3, 13, 18, 3
2025/6/4, 26, 11, 2
2025/6/5, 25, 11, 1
2025/6/6, 21, 7, 1
2025/6/7, 13, , 
2025/6/9, 17, 6, 1
2025/6/10, 7, 12, 2
2025/6/11, 14, 5, 
2025/6/12, 7, 16, 2
2025/6/13, 18, 16, 2
2025/6/14, 26, 17, 1
