date, pm25, pm10, o3, no2, so2
2025/11/1, 42, 3, 29, 4, 
2025/11/2, 9, 5, 24, 8, 
2025/11/3, 9, 10, 14, 14, 
2025/11/4, 23, 12, 7, 15, 
2025/11/5, 33, 17, 2, 16, 
2025/11/6, 52, 17, 2, 17, 
2025/11/7, 54, 16, 6, 14, 
2025/11/8, 57, 14, 7, 12, 
2025/11/9, 54, 11, 12, 10, 
2025/11/10, 42, 13, 3, 12, 
2025/11/11, 51, , , , 
2025/10/1, 38, 11, 22, 7, 
2025/10/2, 35, 16, 12, 11, 
2025/10/3, 48, 7, 30, 4, 
2025/10/4, 19, 3, 25, 1, 
2025/10/5, 8, 5, 22, 4, 
2025/10/6, 12, 6, 25, 5, 
2025/10/7, 14, 10, 11, 8, 
2025/10/8, 32, 14, 7, 10, 
2025/10/9, 42, 9, 19, 5, 
2025/10/10, 28, 10, 21, 6, 
2025/10/11, 38, 11, 19, 8, 
2025/10/12, 38, 11, 17, 6, 
2025/10/13, 41, 9, 15, 7, 
2025/10/14, 28, 12, 23, 8, 
2025/10/15, 40, 11, 17, 8, 
2025/10/16, 36, 12, 20, 6, 
2025/10/17, 43, 10, 26, 8, 
2025/10/18, 33, 12, 12, 9, 
2025/10/19, 41, 14, 5, 14, 
2025/10/20, 40, 7, 24, 6, 
2025/10/21, 17, 7, 16, 8, 
2025/10/22, 11, 4, 31, 4, 
2025/10/23, 7, 3, 28, 2, 
2025/10/24, 7, 2, 24, 3, 
2025/10/25, 5, 2, 27, 2, 
2025/10/26, 6, 2, 26, 2, 
2025/10/27, 5, 4, 25, 4, 
2025/10/28, 11, 11, 10, 12, 
2025/10/29, 23, 5, 22, 8, 
2025/10/30, 12, 9, 14, 12, 
2025/10/31, 24, 13, 3, 12, 
2025/7/1, 35, 14, 64, 3, 
2025/7/2, 36, 16, 47, 4, 
2025/7/3, 37, 24, 46, 5, 
2025/7/4, 61, 26, 60, 7, 
2025/7/5, 53, 20, 46, 6, 
2025/7/6, 36, 5, 30, 2, 
2025/7/7, 10, 5, 31, 4, 
2025/7/8, 10, 7, 39, 3, 
2025/7/9, 15, 11, 40, 5, 
2025/7/10, 24, 13, 49, 6, 
2025/7/11, 30, 10, 46, 4, 
2025/7/12, 25, 11, 46, 4, 
